imageName,imageOrigin,xBudCenter,yBudCenter,radio,class,type
7570.jpg,0207.jpg,1497,1257,71,TRUE,2
7597.jpg,0208.jpg,3312,1404,73,TRUE,2
7598.jpg,0208.jpg,2171,1782,51,TRUE,2
7641.jpg,0209.jpg,2302,1433,76,TRUE,1
7642.jpg,0209.jpg,2765,2248,71,TRUE,3
7682.jpg,0210.jpg,2235,980,71,TRUE,1
7683.jpg,0210.jpg,2714,2168,78,TRUE,1
7728.jpg,0211.jpg,2336,882,84,TRUE,3
7729.jpg,0211.jpg,2044,1939,81,TRUE,2
7781.jpg,0212.jpg,1929,1597,62,TRUE,2
7782.jpg,0212.jpg,2533,1941,62,TRUE,2
7818.jpg,0213.jpg,2671,1096,70,TRUE,2
7847.jpg,0214.jpg,1857,766,59,TRUE,2
7848.jpg,0214.jpg,2426,1702,71,TRUE,2
7882.jpg,0215.jpg,2139,700,66,TRUE,2
7929.jpg,0216.jpg,1994,943,97,TRUE,1
7930.jpg,0216.jpg,2365,1894,80,TRUE,2
7953.jpg,0217.jpg,2549,2219,56,TRUE,2
7981.jpg,0218.jpg,2386,823,52,TRUE,2
7982.jpg,0218.jpg,2267,1584,57,TRUE,2
7983.jpg,0218.jpg,2453,1876,63,TRUE,2
8035.jpg,0218.jpg,2918,2241,51,TRUE,2
8036.jpg,0221.jpg,2192,1962,43,TRUE,3
8037.jpg,0221.jpg,684,2599,45,TRUE,2
8224.jpg,0222.jpg,2671,1372,54,TRUE,2
8225.jpg,0222.jpg,2280,2141,50,TRUE,2
8226.jpg,0222.jpg,2465,2433,43,TRUE,2
8261.jpg,0223.jpg,2882,1476,60,TRUE,2
8371.jpg,0224.jpg,2116,1735,50,TRUE,2
8372.jpg,0224.jpg,2708,1487,39,TRUE,2
8426.jpg,0227.jpg,2104,821,59,TRUE,1
8427.jpg,0227.jpg,2435,1596,47,TRUE,2
8518.jpg,0228.jpg,2051,812,66,TRUE,2
8519.jpg,0228.jpg,2382,1643,66,TRUE,2
8564.jpg,0230.jpg,2390,990,39,TRUE,2
8611.jpg,0231.jpg,2284,1992,49,TRUE,2
8612.jpg,0231.jpg,2386,990,58,TRUE,2
8693.jpg,0233.jpg,2326,1962,55,TRUE,2
8694.jpg,0233.jpg,2673,2052,38,TRUE,2
8753.jpg,0236.jpg,2110,1235,41,TRUE,2
8754.jpg,0236.jpg,2185,1823,48,TRUE,2
8825.jpg,0237.jpg,2529,1271,53,TRUE,2
8826.jpg,0237.jpg,2403,2048,44,TRUE,2
8962.jpg,0252.jpg,2102,1295,40,TRUE,2
8963.jpg,0252.jpg,2369,664,47,TRUE,2
8995.jpg,0253.jpg,1893,936,66,TRUE,2
8996.jpg,0253.jpg,2355,1923,55,TRUE,1
9069.jpg,0254.jpg,2578,951,50,TRUE,2
9070.jpg,0254.jpg,2567,1564,51,TRUE,2
9084.jpg,0255.jpg,2263,1156,54,TRUE,2
9085.jpg,0255.jpg,2437,2073,41,TRUE,2
9135.jpg,0257.jpg,2420,1744,79,TRUE,1
9155.jpg,0258.jpg,2379,1642,86,TRUE,1
9182.jpg,0260.jpg,2369,1847,91,TRUE,1
9205.jpg,0261.jpg,2062,571,63,TRUE,2
9206.jpg,0261.jpg,2367,1655,51,TRUE,2
9243.jpg,0262.jpg,2532,1623,82,TRUE,1
9265.jpg,0263.jpg,2433,1703,116,TRUE,1
9349.jpg,0264.jpg,2210,1770,187,TRUE,1
9361.jpg,0265.jpg,2356,1778,145,TRUE,2
9378.jpg,0266.jpg,2353,1652,166,TRUE,1
9398.jpg,0270.jpg,2305,1555,83,TRUE,1
9417.jpg,0271.jpg,2263,1672,64,TRUE,1
9487.jpg,0272.jpg,2225,1763,129,TRUE,1
9501.jpg,0274.jpg,2223,1593,98,TRUE,1
9542.jpg,0275.jpg,2247,1572,116,TRUE,1
9585.jpg,0276.jpg,2242,1844,124,TRUE,1
9607.jpg,0278.jpg,2510,1704,95,TRUE,1
9623.jpg,0279.jpg,2431,1835,85,TRUE,1
9677.jpg,0280.jpg,2497,1760,85,TRUE,1
9704.jpg,0281.jpg,2217,1765,88,TRUE,1
9747.jpg,0282.jpg,2353,1600,97,TRUE,1
9761.jpg,0283.jpg,2464,1663,127,TRUE,2
9772.jpg,0284.jpg,2332,1965,119,TRUE,1
9787.jpg,0285.jpg,2405,1964,111,TRUE,2
9818.jpg,0286.jpg,2364,1775,115,TRUE,2
9872.jpg,0287.jpg,2340,1789,98,TRUE,1
9897.jpg,0289.jpg,2281,1636,139,TRUE,2
9959.jpg,0290.jpg,2515,142,73,TRUE,2
9960.jpg,0290.jpg,2429,1824,57,TRUE,2
9975.jpg,0291.jpg,2445,1812,87,TRUE,1
10003.jpg,0292.jpg,2233,1804,102,TRUE,1
10041.jpg,0294.jpg,2220,1644,111,TRUE,1
10078.jpg,0295.jpg,2358,1609,130,TRUE,3
10130.jpg,0296.jpg,2378,1650,67,TRUE,1
10363.jpg,0297.jpg,2542,1655,71,TRUE,1
10412.jpg,0298.jpg,2512,1612,90,TRUE,1
10469.jpg,0300.jpg,2285,1542,143,TRUE,1
10480.jpg,0301.jpg,2339,1789,139,TRUE,2
10520.jpg,0302.jpg,2258,1733,74,TRUE,1
10530.jpg,0303.jpg,2267,1684,122,TRUE,1
10557.jpg,0304.jpg,2273,1653,80,TRUE,1
10566.jpg,0305.jpg,2288,1808,106,TRUE,1
10580.jpg,0306.jpg,2482,1725,76,TRUE,1
10600.jpg,0307.jpg,2592,1756,418,TRUE,1
10618.jpg,0308.jpg,2804,1960,336,TRUE,1
10629.jpg,0309.jpg,2820,1616,322,TRUE,1
10647.jpg,0310.jpg,3248,1908,448,TRUE,1
10665.jpg,0311.jpg,3028,1792,398,TRUE,2
10674.jpg,0312.jpg,2276,1804,366,TRUE,1
10686.jpg,0313.jpg,2512,2264,300,TRUE,1
10715.jpg,0314.jpg,2816,1708,388,TRUE,1
10722.jpg,0315.jpg,2660,2024,344,TRUE,1
10731.jpg,0316.jpg,2676,2164,282,TRUE,1
10749.jpg,0317.jpg,2404,1472,332,TRUE,1
10769.jpg,0318.jpg,2752,1776,364,TRUE,1
10797.jpg,0319.jpg,2688,1756,310,TRUE,1
10817.jpg,0320.jpg,2636,1932,372,TRUE,1
10842.jpg,0321.jpg,2328,1416,218,TRUE,1
10851.jpg,0322.jpg,2576,1780,252,TRUE,1
10865.jpg,0323.jpg,2612,1516,300,TRUE,1
10895.jpg,0324.jpg,2684,1852,294,TRUE,1
10910.jpg,0325.jpg,2612,1928,374,TRUE,1
10927.jpg,0326.jpg,2500,2248,432,TRUE,1
10944.jpg,0327.jpg,2176,2436,376,TRUE,1
10966.jpg,0328.jpg,2912,1520,286,TRUE,1
10992.jpg,0329.jpg,2652,1844,282,TRUE,2
10999.jpg,0330.jpg,2904,1552,378,TRUE,1
11025.jpg,0331.jpg,1976,1956,322,TRUE,1
11058.jpg,0332.jpg,2364,1836,348,TRUE,1
11059.jpg,0332.jpg,2804,1900,338,TRUE,1
11075.jpg,0333.jpg,2000,1860,258,TRUE,1
11086.jpg,0334.jpg,2736,1736,272,TRUE,1
11101.jpg,0335.jpg,2692,1856,238,TRUE,1
11113.jpg,0336.jpg,3168,1860,344,TRUE,1
11156.jpg,0337.jpg,2668,2048,340,TRUE,1
11177.jpg,0338.jpg,2240,1840,306,TRUE,1
11193.jpg,0339.jpg,2420,1724,298,TRUE,1
11214.jpg,0340.jpg,2672,1928,236,TRUE,1
11220.jpg,0341.jpg,3320,2288,330,TRUE,1
11221.jpg,0341.jpg,2724,2300,360,TRUE,1
11246.jpg,0342.jpg,2576,1924,224,TRUE,1
11262.jpg,0343.jpg,3012,1888,356,TRUE,2
11275.jpg,0344.jpg,2456,2048,248,TRUE,3
11284.jpg,0345.jpg,2464,2200,196,TRUE,1
11304.jpg,0346.jpg,2956,1884,254,TRUE,1
11318.jpg,0347.jpg,3328,1824,286,TRUE,1
11334.jpg,0348.jpg,3012,1772,246,TRUE,1
11343.jpg,0349.jpg,2276,1720,304,TRUE,1
11359.jpg,0350.jpg,3028,2124,222,TRUE,1
11371.jpg,0351.jpg,2900,1916,224,TRUE,1
11372.jpg,0351.jpg,2596,1968,228,TRUE,1
11376.jpg,0352.jpg,2320,1880,220,TRUE,1
11383.jpg,0353.jpg,2360,2076,264,TRUE,1
11396.jpg,0354.jpg,3096,1584,352,TRUE,2
11419.jpg,0355.jpg,2304,1456,286,TRUE,3
11445.jpg,0356.jpg,2504,1548,240,TRUE,3
11465.jpg,0357.jpg,2868,1932,266,TRUE,2
11493.jpg,0358.jpg,3116,1828,228,TRUE,1
11512.jpg,0359.jpg,2812,1772,270,TRUE,2
11531.jpg,0360.jpg,2520,2172,270,TRUE,1
11550.jpg,0361.jpg,3160,2468,230,TRUE,1
11563.jpg,0362.jpg,2636,2104,218,TRUE,1
11585.jpg,0363.jpg,3148,1832,264,TRUE,1
11631.jpg,0364.jpg,2808,1612,268,TRUE,1
11659.jpg,0365.jpg,2768,1668,320,TRUE,2
11670.jpg,0366.jpg,2452,1576,354,TRUE,2
11694.jpg,0367.jpg,2940,1996,286,TRUE,1
11719.jpg,0368.jpg,2340,1664,312,TRUE,2
11745.jpg,0369.jpg,2860,1944,248,TRUE,1
11760.jpg,0370.jpg,2980,1896,230,TRUE,1
11765.jpg,0371.jpg,2828,1888,274,TRUE,1
11766.jpg,0371.jpg,3204,1864,258,TRUE,1
11773.jpg,0372.jpg,2296,1860,402,TRUE,2
11808.jpg,0373.jpg,2248,2612,378,TRUE,1
11809.jpg,0373.jpg,2868,2196,356,TRUE,1
11829.jpg,0374.jpg,2768,1360,356,TRUE,1
11866.jpg,0375.jpg,2800,1784,322,TRUE,1
11883.jpg,0376.jpg,2784,1860,254,TRUE,2
11900.jpg,0377.jpg,2632,1460,286,TRUE,1
11912.jpg,0378.jpg,2760,1756,248,TRUE,1
11934.jpg,0379.jpg,2892,1516,340,TRUE,1
11952.jpg,0380.jpg,2460,1504,292,TRUE,1
11971.jpg,0381.jpg,2452,1580,280,TRUE,1
11980.jpg,0382.jpg,2168,1884,242,TRUE,1
11993.jpg,0383.jpg,2504,1988,314,TRUE,1
12034.jpg,0384.jpg,2592,2052,326,TRUE,1
12055.jpg,0385.jpg,2780,1640,304,TRUE,1
12077.jpg,0386.jpg,2596,1752,274,TRUE,1
12086.jpg,0387.jpg,2688,2024,370,TRUE,1
12107.jpg,0388.jpg,2820,2060,268,TRUE,2
12138.jpg,0389.jpg,2592,2008,362,TRUE,1
12170.jpg,0390.jpg,2692,1536,346,TRUE,1
12196.jpg,0391.jpg,3096,1588,336,TRUE,2
12237.jpg,0392.jpg,2972,2308,322,TRUE,1
12277.jpg,0393.jpg,2736,1780,250,TRUE,1
12288.jpg,0394.jpg,2660,1792,330,TRUE,1
12299.jpg,0395.jpg,3140,1976,276,TRUE,1
12318.jpg,0396.jpg,2708,1908,260,TRUE,1
12328.jpg,0397.jpg,2236,1940,240,TRUE,1
12335.jpg,0398.jpg,2220,1852,252,TRUE,1
12348.jpg,0399.jpg,2348,1948,244,TRUE,2
12363.jpg,0400.jpg,2336,1856,316,TRUE,1
12378.jpg,0401.jpg,2876,1424,242,TRUE,1
12390.jpg,0402.jpg,2764,1384,278,TRUE,1
12399.jpg,0403.jpg,2640,2172,296,TRUE,1
12411.jpg,0404.jpg,2472,1920,278,TRUE,1
12423.jpg,0405.jpg,2828,1628,316,TRUE,1
12459.jpg,0406.jpg,2648,2236,292,TRUE,2
12480.jpg,0407.jpg,1721,1835,107,TRUE,1
12533.jpg,0408.jpg,1759,1603,91,TRUE,1
12534.jpg,0408.jpg,1626,1600,85,TRUE,1
12583.jpg,0409.jpg,1801,1687,84,TRUE,1
12628.jpg,0410.jpg,1905,1537,129,TRUE,1
12662.jpg,0411.jpg,1819,1674,114,TRUE,2
12678.jpg,0412.jpg,1681,1807,121,TRUE,1
12690.jpg,0413.jpg,1508,1985,172,TRUE,1
12707.jpg,0414.jpg,1623,1793,212,TRUE,1
12730.jpg,0415.jpg,1366,1794,201,TRUE,2
12757.jpg,0416.jpg,1942,1831,194,TRUE,1
12770.jpg,0417.jpg,1864,1698,193,TRUE,1
12785.jpg,0418.jpg,1672,1756,176,TRUE,2
12805.jpg,0419.jpg,1268,1737,162,TRUE,2
12825.jpg,0420.jpg,1925,1903,209,TRUE,1
12864.jpg,0421.jpg,1584,1590,166,TRUE,2
12881.jpg,0422.jpg,1535,1682,165,TRUE,3
12902.jpg,0423.jpg,1520,1817,167,TRUE,1
12921.jpg,0424.jpg,1723,1736,223,TRUE,2
12954.jpg,0425.jpg,1733,1475,207,TRUE,2
12974.jpg,0426.jpg,1892,1715,169,TRUE,1
12989.jpg,0427.jpg,1614,1581,124,TRUE,1
12998.jpg,0428.jpg,1623,1737,149,TRUE,1
13017.jpg,0429.jpg,1892,1814,113,TRUE,1
13029.jpg,0430.jpg,1938,1826,138,TRUE,1
13043.jpg,0431.jpg,1958,1821,206,TRUE,1
13073.jpg,0432.jpg,1900,1915,178,TRUE,2
13099.jpg,0433.jpg,1819,1808,152,TRUE,3
13110.jpg,0434.jpg,1699,1675,210,TRUE,2
13143.jpg,0435.jpg,1884,1638,251,TRUE,2
13171.jpg,0436.jpg,1841,1791,164,TRUE,1
13189.jpg,0437.jpg,2003,1533,164,TRUE,1
13201.jpg,0438.jpg,1592,1605,156,TRUE,1
13227.jpg,0439.jpg,1808,1871,156,TRUE,1
13265.jpg,0440.jpg,1660,1750,114,TRUE,1
13308.jpg,0441.jpg,2135,1704,206,TRUE,1
13332.jpg,0442.jpg,1759,1758,180,TRUE,2
13369.jpg,0443.jpg,1849,1780,160,TRUE,2
13380.jpg,0444.jpg,1477,1564,176,TRUE,1
13401.jpg,0445.jpg,1838,1998,167,TRUE,1
13416.jpg,0446.jpg,1497,1526,174,TRUE,2
13443.jpg,0447.jpg,1275,1531,195,TRUE,1
13474.jpg,0448.jpg,1823,1781,201,TRUE,1
13492.jpg,0449.jpg,1810,2035,206,TRUE,1
13509.jpg,0450.jpg,1659,1876,240,TRUE,1
13538.jpg,0451.jpg,1453,1793,231,TRUE,2
13577.jpg,0452.jpg,1487,1406,174,TRUE,2
13611.jpg,0453.jpg,1333,1656,238,TRUE,1
13653.jpg,0454.jpg,1576,1672,247,TRUE,1
13701.jpg,0455.jpg,2033,1815,191,TRUE,1
13740.jpg,0456.jpg,1346,1805,211,TRUE,1
13781.jpg,0457.jpg,1271,1466,200,TRUE,3
13815.jpg,0458.jpg,2067,1907,195,TRUE,1
13862.jpg,0459.jpg,1689,1692,164,TRUE,1
13880.jpg,0460.jpg,1801,1725,184,TRUE,1
13917.jpg,0461.jpg,1557,1817,178,TRUE,1
13948.jpg,0462.jpg,1923,1897,211,TRUE,1
13981.jpg,0463.jpg,1539,1573,232,TRUE,2
14041.jpg,0464.jpg,1945,1885,215,TRUE,1
14090.jpg,0465.jpg,1870,1727,249,TRUE,2
14164.jpg,0466.jpg,1868,1981,240,TRUE,1
14205.jpg,0467.jpg,1810,1674,202,TRUE,1
14248.jpg,0468.jpg,1487,1622,233,TRUE,1
14314.jpg,0469.jpg,1775,1846,228,TRUE,1
14384.jpg,0470.jpg,1696,1779,216,TRUE,1
14420.jpg,0471.jpg,1772,1559,195,TRUE,3
14454.jpg,0472.jpg,1913,1901,230,TRUE,1
14499.jpg,0473.jpg,1866,1786,208,TRUE,1
14530.jpg,0474.jpg,1480,1726,219,TRUE,1
14580.jpg,0475.jpg,1722,1855,216,TRUE,2
